team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Phoenix Mercury,7178,2012,Tulsa Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,TUL
New York Liberty,4905,2012,Indiana Fever,Prudential Center,Newark,NJ,Regular season,NYL,IND
Minnesota Lynx,7942,2012,San Antonio Silver Stars,Target Center,Minneapolis,MN,Regular season,MIN,SAN
Los Angeles Sparks,12639,2012,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
New York Liberty,4823,2012,Atlanta Dream,Prudential Center,Newark,NJ,Regular season,NYL,ATL
Minnesota Lynx,8263,2012,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Indiana Fever,6041,2012,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
Washington Mystics,9108,2012,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Atlanta Dream,4501,2012,San Antonio Silver Stars,Philips Arena,Atlanta,GA,Regular season,ATL,SAN
Chicago Sky,5019,2012,Tulsa Shock,Allstate Arena,Rosemont,IL,Regular season,CHI,TUL
Los Angeles Sparks,11198,2012,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
San Antonio Stars,8187,2012,Seattle Storm,AT&T Center,San Antonio,TX,Regular season,SAN,SEA
Tulsa Shock,5113,2012,Minnesota Lynx,BOK Center,Tulsa,OK,Regular season,TUL,MIN
New York Liberty,5908,2012,Chicago Sky,Prudential Center,Newark,NJ,Regular season,NYL,CHI
Connecticut Sun,6526,2012,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Chicago Sky,4681,2012,Seattle Storm,Allstate Arena,Rosemont,IL,Regular season,CHI,SEA
Connecticut Sun,6058,2012,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LAS
Connecticut Sun,6522,2012,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Washington Mystics,8050,2012,Indiana Fever,Verizon Center,Washington,DC,Regular season,WAS,IND
Atlanta Dream,8872,2012,Los Angeles Sparks,Philips Arena,Atlanta,GA,Regular season,ATL,LAS
Tulsa Shock,5100,2012,Seattle Storm,BOK Center,Tulsa,OK,Regular season,TUL,SEA
Phoenix Mercury,7394,2012,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Indiana Fever,6098,2012,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
San Antonio Stars,8234,2012,Los Angeles Sparks,AT&T Center,San Antonio,TX,Regular season,SAN,LAS
Atlanta Dream,4323,2012,Connecticut Sun,Philips Arena,Atlanta,GA,Regular season,ATL,CON
Tulsa Shock,4200,2012,Phoenix Mercury,BOK Center,Tulsa,OK,Regular season,TUL,PHO
Seattle Storm,8349,2012,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
Los Angeles Sparks,8612,2012,Washington Mystics,Staples Center,Los Angeles,CA,Regular season,LAS,WAS
Atlanta Dream,4134,2012,New York Liberty,Philips Arena,Atlanta,GA,Regular season,ATL,NYL
Connecticut Sun,6503,2012,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Phoenix Mercury,5751,2012,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
Los Angeles Sparks,8388,2012,Tulsa Shock,Staples Center,Los Angeles,CA,Regular season,LAS,TUL
Indiana Fever,6326,2012,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
Minnesota Lynx,9050,2012,New York Liberty,Target Center,Minneapolis,MN,Regular season,MIN,NYL
Seattle Storm,6849,2012,San Antonio Silver Stars,KeyArena,Seattle,WA,Regular season,SEA,SAN
Minnesota Lynx,9267,2012,Chicago Sky,Target Center,Minneapolis,MN,Regular season,MIN,CHI
Tulsa Shock,4209,2012,Indiana Fever,BOK Center,Tulsa,OK,Regular season,TUL,IND
Phoenix Mercury,9670,2012,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
New York Liberty,6754,2012,Atlanta Dream,Prudential Center,Newark,NJ,Regular season,NYL,ATL
Seattle Storm,6979,2012,Washington Mystics,KeyArena,Seattle,WA,Regular season,SEA,WAS
Los Angeles Sparks,11301,2012,San Antonio Silver Stars,Staples Center,Los Angeles,CA,Regular season,LAS,SAN
Atlanta Dream,8388,2012,Indiana Fever,Philips Arena,Atlanta,GA,Regular season,ATL,IND
Washington Mystics,6645,2012,Seattle Storm,Verizon Center,Washington,DC,Regular season,WAS,SEA
Tulsa Shock,4102,2012,Los Angeles Sparks,BOK Center,Tulsa,OK,Regular season,TUL,LAS
Chicago Sky,6312,2012,Indiana Fever,Allstate Arena,Rosemont,IL,Regular season,CHI,IND
Minnesota Lynx,9674,2012,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
San Antonio Stars,15184,2012,Los Angeles Sparks,AT&T Center,San Antonio,TX,Regular season,SAN,LAS
Washington Mystics,6975,2012,Connecticut Sun,Verizon Center,Washington,DC,Regular season,WAS,CON
Tulsa Shock,4235,2012,Atlanta Dream,BOK Center,Tulsa,OK,Regular season,TUL,ATL
Chicago Sky,5488,2012,Phoenix Mercury,Allstate Arena,Rosemont,IL,Regular season,CHI,PHO
New York Liberty,6724,2012,Seattle Storm,Prudential Center,Newark,NJ,Regular season,NYL,SEA
San Antonio Stars,6568,2012,Minnesota Lynx,AT&T Center,San Antonio,TX,Regular season,SAN,MIN
Washington Mystics,10789,2012,Phoenix Mercury,Verizon Center,Washington,DC,Regular season,WAS,PHO
Connecticut Sun,9201,2012,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SEA
Chicago Sky,6093,2012,Atlanta Dream,Allstate Arena,Rosemont,IL,Regular season,CHI,ATL
San Antonio Stars,6912,2012,Phoenix Mercury,AT&T Center,San Antonio,TX,Regular season,SAN,PHO
Los Angeles Sparks,11256,2012,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Indiana Fever,6088,2012,San Antonio Silver Stars,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SAN
Washington Mystics,6522,2012,San Antonio Silver Stars,Verizon Center,Washington,DC,Regular season,WAS,SAN
Tulsa Shock,4318,2012,Connecticut Sun,BOK Center,Tulsa,OK,Regular season,TUL,CON
Chicago Sky,4211,2012,New York Liberty,Allstate Arena,Rosemont,IL,Regular season,CHI,NYL
Indiana Fever,6155,2012,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
Minnesota Lynx,10882,2012,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
Los Angeles Sparks,12229,2012,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Phoenix Mercury,7948,2012,Atlanta Dream,US Airways Center,Phoenix,AZ,Regular season,PHO,ATL
Tulsa Shock,4003,2012,Washington Mystics,BOK Center,Tulsa,OK,Regular season,TUL,WAS
New York Liberty,7714,2012,San Antonio Silver Stars,Prudential Center,Newark,NJ,Regular season,NYL,SAN
Los Angeles Sparks,11019,2012,Atlanta Dream,Staples Center,Los Angeles,CA,Regular season,LAS,ATL
Seattle Storm,8639,2012,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Washington Mystics,12569,2012,Connecticut Sun,Verizon Center,Washington,DC,Regular season,WAS,CON
Indiana Fever,9216,2012,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Tulsa Shock,6012,2012,Minnesota Lynx,BOK Center,Tulsa,OK,Regular season,TUL,MIN
Phoenix Mercury,9336,2012,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Chicago Sky,13161,2012,San Antonio Silver Stars,Allstate Arena,Rosemont,IL,Regular season,CHI,SAN
Seattle Storm,9686,2012,Atlanta Dream,KeyArena,Seattle,WA,Regular season,SEA,ATL
Connecticut Sun,7804,2012,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Minnesota Lynx,15318,2012,Tulsa Shock,Target Center,Minneapolis,MN,Regular season,MIN,TUL
Indiana Fever,7244,2012,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LAS
New York Liberty,14715,2012,Washington Mystics,Prudential Center,Newark,NJ,Regular season,NYL,WAS
San Antonio Stars,13426,2012,Atlanta Dream,AT&T Center,San Antonio,TX,Regular season,SAN,ATL
Chicago Sky,5988,2012,Connecticut Sun,Allstate Arena,Rosemont,IL,Regular season,CHI,CON
Phoenix Mercury,7647,2012,Seattle Storm,US Airways Center,Phoenix,AZ,Regular season,PHO,SEA
Indiana Fever,6834,2012,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
New York Liberty,5865,2012,Connecticut Sun,Prudential Center,Newark,NJ,Regular season,NYL,CON
Seattle Storm,6987,2012,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Minnesota Lynx,10933,2012,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Tulsa Shock,6270,2012,San Antonio Silver Stars,BOK Center,Tulsa,OK,Regular season,TUL,SAN
Chicago Sky,5593,2012,Atlanta Dream,Allstate Arena,Rosemont,IL,Regular season,CHI,ATL
Connecticut Sun,8232,2012,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Indiana Fever,9302,2012,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Seattle Storm,9127,2012,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
Washington Mystics,8489,2012,Chicago Sky,Verizon Center,Washington,DC,Regular season,WAS,CHI
Phoenix Mercury,10656,2012,San Antonio Silver Stars,US Airways Center,Phoenix,AZ,Regular season,PHO,SAN
Minnesota Lynx,10223,2012,Tulsa Shock,Target Center,Minneapolis,MN,Regular season,MIN,TUL
Connecticut Sun,6745,2012,Tulsa Shock,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,TUL
Chicago Sky,3638,2012,New York Liberty,Allstate Arena,Rosemont,IL,Regular season,CHI,NYL
San Antonio Stars,5913,2012,Washington Mystics,AT&T Center,San Antonio,TX,Regular season,SAN,WAS
Seattle Storm,6169,2012,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
Los Angeles Sparks,8402,2012,Indiana Fever,Staples Center,Los Angeles,CA,Regular season,LAS,IND
Atlanta Dream,4010,2012,Chicago Sky,Philips Arena,Atlanta,GA,Regular season,ATL,CHI
Phoenix Mercury,7039,2012,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Seattle Storm,5819,2012,Indiana Fever,KeyArena,Seattle,WA,Regular season,SEA,IND
Los Angeles Sparks,8696,2012,San Antonio Silver Stars,Staples Center,Los Angeles,CA,Regular season,LAS,SAN
Washington Mystics,9697,2012,Atlanta Dream,Verizon Center,Washington,DC,Regular season,WAS,ATL
Tulsa Shock,5147,2012,Chicago Sky,BOK Center,Tulsa,OK,Regular season,TUL,CHI
Atlanta Dream,7224,2012,Minnesota Lynx,Philips Arena,Atlanta,GA,Regular season,ATL,MIN
San Antonio Stars,9029,2012,Tulsa Shock,AT&T Center,San Antonio,TX,Regular season,SAN,TUL
Phoenix Mercury,9079,2012,Indiana Fever,US Airways Center,Phoenix,AZ,Regular season,PHO,IND
Los Angeles Sparks,12433,2012,New York Liberty,Staples Center,Los Angeles,CA,Regular season,LAS,NYL
Connecticut Sun,8390,2012,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
Seattle Storm,6459,2012,New York Liberty,KeyArena,Seattle,WA,Regular season,SEA,NYL
Atlanta Dream,2813,2012,Tulsa Shock,Philips Arena,Atlanta,GA,Regular season,ATL,TUL
Indiana Fever,6525,2012,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Chicago Sky,2884,2012,Connecticut Sun,Allstate Arena,Rosemont,IL,Regular season,CHI,CON
Minnesota Lynx,8532,2012,San Antonio Silver Stars,Target Center,Minneapolis,MN,Regular season,MIN,SAN
Atlanta Dream,3381,2012,Washington Mystics,Philips Arena,Atlanta,GA,Regular season,ATL,WAS
New York Liberty,5315,2012,Indiana Fever,Prudential Center,Newark,NJ,Regular season,NYL,IND
San Antonio Stars,5023,2012,Connecticut Sun,AT&T Center,San Antonio,TX,Regular season,SAN,CON
Tulsa Shock,5275,2012,Los Angeles Sparks,BOK Center,Tulsa,OK,Regular season,TUL,LAS
Seattle Storm,6379,2012,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Minnesota Lynx,9213,2012,Tulsa Shock,Target Center,Minneapolis,MN,Regular season,MIN,TUL
New York Liberty,6245,2012,Washington Mystics,Prudential Center,Newark,NJ,Regular season,NYL,WAS
Indiana Fever,9307,2012,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
Phoenix Mercury,5964,2012,San Antonio Silver Stars,US Airways Center,Phoenix,AZ,Regular season,PHO,SAN
Atlanta Dream,5020,2012,Connecticut Sun,Philips Arena,Atlanta,GA,Regular season,ATL,CON
Chicago Sky,6197,2012,Los Angeles Sparks,Allstate Arena,Rosemont,IL,Regular season,CHI,LAS
Washington Mystics,5980,2012,Connecticut Sun,Verizon Center,Washington,DC,Regular season,WAS,CON
Minnesota Lynx,8123,2012,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Atlanta Dream,4112,2012,Indiana Fever,Philips Arena,Atlanta,GA,Regular season,ATL,IND
New York Liberty,4732,2012,Phoenix Mercury,Prudential Center,Newark,NJ,Regular season,NYL,PHO
Seattle Storm,5948,2012,Tulsa Shock,KeyArena,Seattle,WA,Regular season,SEA,TUL
Connecticut Sun,8379,2012,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,PHO
Washington Mystics,7468,2012,Los Angeles Sparks,Verizon Center,Washington,DC,Regular season,WAS,LAS
New York Liberty,6145,2012,Chicago Sky,Prudential Center,Newark,NJ,Regular season,NYL,CHI
Minnesota Lynx,9308,2012,Atlanta Dream,Target Center,Minneapolis,MN,Regular season,MIN,ATL
San Antonio Stars,8097,2012,Indiana Fever,AT&T Center,San Antonio,TX,Regular season,SAN,IND
Tulsa Shock,7415,2012,Seattle Storm,BOK Center,Tulsa,OK,Regular season,TUL,SEA
San Antonio Stars,6025,2012,Minnesota Lynx,AT&T Center,San Antonio,TX,Regular season,SAN,MIN
Atlanta Dream,6898,2012,Washington Mystics,Philips Arena,Atlanta,GA,Regular season,ATL,WAS
New York Liberty,7357,2012,Los Angeles Sparks,Prudential Center,Newark,NJ,Regular season,NYL,LAS
Connecticut Sun,6658,2012,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
Indiana Fever,7971,2012,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,PHO
Atlanta Dream,5558,2012,Seattle Storm,Philips Arena,Atlanta,GA,Regular season,ATL,SEA
Chicago Sky,4296,2012,Minnesota Lynx,Allstate Arena,Rosemont,IL,Regular season,CHI,MIN
Indiana Fever,6337,2012,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SEA
New York Liberty,5717,2012,Washington Mystics,Prudential Center,Newark,NJ,Regular season,NYL,WAS
Tulsa Shock,4543,2012,San Antonio Silver Stars,BOK Center,Tulsa,OK,Regular season,TUL,SAN
Phoenix Mercury,5421,2012,Connecticut Sun,US Airways Center,Phoenix,AZ,Regular season,PHO,CON
Los Angeles Sparks,8489,2012,Chicago Sky,Staples Center,Los Angeles,CA,Regular season,LAS,CHI
Indiana Fever,8819,2012,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIN
Washington Mystics,7368,2012,Atlanta Dream,Verizon Center,Washington,DC,Regular season,WAS,ATL
San Antonio Stars,7109,2012,Seattle Storm,AT&T Center,San Antonio,TX,Regular season,SAN,SEA
Phoenix Mercury,6719,2012,Tulsa Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,TUL
Los Angeles Sparks,10503,2012,Connecticut Sun,Staples Center,Los Angeles,CA,Regular season,LAS,CON
San Antonio Stars,5246,2012,Tulsa Shock,AT&T Center,San Antonio,TX,Regular season,SAN,TUL
Washington Mystics,8087,2012,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Phoenix Mercury,8044,2012,Chicago Sky,US Airways Center,Phoenix,AZ,Regular season,PHO,CHI
Seattle Storm,7748,2012,Connecticut Sun,KeyArena,Seattle,WA,Regular season,SEA,CON
Minnesota Lynx,9523,2012,Indiana Fever,Target Center,Minneapolis,MN,Regular season,MIN,IND
San Antonio Stars,6650,2012,New York Liberty,AT&T Center,San Antonio,TX,Regular season,SAN,NYL
Seattle Storm,6459,2012,Chicago Sky,KeyArena,Seattle,WA,Regular season,SEA,CHI
Los Angeles Sparks,8579,2012,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Connecticut Sun,5811,2012,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Chicago Sky,4188,2012,Atlanta Dream,Allstate Arena,Rosemont,IL,Regular season,CHI,ATL
Tulsa Shock,5661,2012,New York Liberty,BOK Center,Tulsa,OK,Regular season,TUL,NYL
Los Angeles Sparks,10217,2012,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Washington Mystics,7702,2012,Indiana Fever,Verizon Center,Washington,DC,Regular season,WAS,IND
Phoenix Mercury,7217,2012,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Seattle Storm,8494,2012,San Antonio Silver Stars,KeyArena,Seattle,WA,Regular season,SEA,SAN
New York Liberty,8508,2012,Tulsa Shock,Prudential Center,Newark,NJ,Regular season,NYL,TUL
Chicago Sky,6721,2012,Washington Mystics,Allstate Arena,Rosemont,IL,Regular season,CHI,WAS
Phoenix Mercury,7576,2012,Seattle Storm,US Airways Center,Phoenix,AZ,Regular season,PHO,SEA
San Antonio Stars,8084,2012,Minnesota Lynx,AT&T Center,San Antonio,TX,Regular season,SAN,MIN
Connecticut Sun,9143,2012,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Indiana Fever,9225,2012,Tulsa Shock,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,TUL
Connecticut Sun,5520,2012,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Eastern Conference Semifinals,CON,NYL
Los Angeles Sparks,5013,2012,San Antonio Silver Stars,Galen Center,LosAngeles,CA,Western Conference Semifinals,LAS,SAN
Indiana Fever,7776,2012,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Semifinals,IND,ATL
Minnesota Lynx,9213,2012,Seattle Storm,Target Center,Minneapolis,MN,Western Conference Semifinals,MIN,SEA
San Antonio Stars,5293,2012,Los Angeles Sparks,Freeman Coliseum,San Antonio,TX,Western Conference Semifinals,SAN,LAS
New York Liberty,7854,2012,Connecticut Sun,Prudential Center,Newark,NJ,Eastern Conference Semifinals,NYL,CON
Atlanta Dream,6890,2012,Indiana Fever,Philips Arena,Atlanta,GA,Eastern Conference Semifinals,ATL,IND
Seattle Storm,8479,2012,Minnesota Lynx,KeyArena,Seattle,WA,Western Conference Semifinals,SEA,MIN
Indiana Fever,6840,2012,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Semifinals,IND,ATL
Minnesota Lynx,8023,2012,Seattle Storm,Target Center,Minneapolis,MN,Western Conference Semifinals,MIN,SEA
Minnesota Lynx,8513,2012,Los Angeles Sparks,Target Center,Minneapolis,MN,Western Conference Finals,MIN,LAS
Connecticut Sun,7599,2012,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Eastern Conference Finals,CON,IND
Los Angeles Sparks,10791,2012,Minnesota Lynx,Staples Center,Los Angeles,CA,Western Conference Finals,LAS,MIN
Indiana Fever,9225,2012,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Finals,IND,CON
Connecticut Sun,6516,2012,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Eastern Conference Finals,CON,IND
Minnesota Lynx,14322,2012,Indiana Fever,Target Center,Minneapolis,MN,Finals,MIN,IND
Minnesota Lynx,13478,2012,Indiana Fever,Target Center,Minneapolis,MN,Finals,MIN,IND
Indiana Fever,18165,2012,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Finals,IND,MIN
Indiana Fever,15213,2012,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Finals,IND,MIN
San Antonio Stars,8054,2013,Indiana Fever,AT&T Center,San Antonio,TX,Regular season,SAN,IND
Atlanta Dream,7519,2013,Tulsa Shock,Philips Arena,Atlanta,GA,Regular season,ATL,TUL
Connecticut Sun,7672,2013,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Los Angeles Sparks,10090,2013,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Tulsa Shock,7381,2013,Washington Mystics,BOK Center,Tulsa,OK,Regular season,TUL,WAS
Phoenix Mercury,10200,2013,Chicago Sky,US Airways Center,Phoenix,AZ,Regular season,PHO,CHI
Indiana Fever,10756,2013,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
New York Liberty,7532,2013,Tulsa Shock,Prudential Center,Newark,NJ,Regular season,NYL,TUL
Chicago Sky,6607,2013,Connecticut Sun,Allstate Arena,Rosemont,IL,Regular season,CHI,CON
Minnesota Lynx,9223,2013,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
San Antonio Stars,6081,2013,Los Angeles Sparks,AT&T Center,San Antonio,TX,Regular season,SAN,LAS
Washington Mystics,8938,2013,Atlanta Dream,Verizon Center,Washington,DC,Regular season,WAS,ATL
Chicago Sky,6811,2013,Tulsa Shock,Allstate Arena,Rosemont,IL,Regular season,CHI,TUL
Seattle Storm,9686,2013,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
New York Liberty,7617,2013,Indiana Fever,Prudential Center,Newark,NJ,Regular season,NYL,IND
Minnesota Lynx,8511,2013,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Connecticut Sun,6150,2013,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Atlanta Dream,6173,2013,New York Liberty,Philips Arena,Atlanta,GA,Regular season,ATL,NYL
San Antonio Stars,6244,2013,Chicago Sky,AT&T Center,San Antonio,TX,Regular season,SAN,CHI
Seattle Storm,6879,2013,Tulsa Shock,KeyArena,Seattle,WA,Regular season,SEA,TUL
Indiana Fever,8672,2013,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,PHO
Washington Mystics,7870,2013,Minnesota Lynx,Verizon Center,Washington,DC,Regular season,WAS,MIN
Los Angeles Sparks,6110,2013,Tulsa Shock,Staples Center,Los Angeles,CA,Regular season,LAS,TUL
